41 
23 
26 39 
25 39 
25 26 
17 32 
11 33 
10 31 
0 1 
12 13 15 29 34 
12 13 15 16 34 
12 13 14 19 35 
12 13 14 15 34 
11 29 32 37 38 
11 22 29 32 38 
11 22 29 32 37 
11 17 29 37 38 
11 17 22 29 38 
11 17 22 29 37 
11 16 19 29 35 
11 15 16 29 34 
11 14 32 37 38 
11 14 29 37 38 
11 14 22 32 38 
11 14 22 32 37 
11 14 22 29 38 
11 14 22 29 37 
11 14 20 36 38 
11 14 19 29 35 
11 14 17 37 38 
11 14 17 22 38 
11 14 17 22 37 
11 14 16 19 35 
11 14 15 29 34 
11 14 15 16 34 
11 13 29 37 38 
11 13 22 29 38 
11 13 22 29 37 
11 13 20 36 37 
11 13 18 34 35 
11 13 18 19 34 
11 13 15 18 35 
11 13 15 18 19 
11 12 32 37 38 
11 12 29 37 38 
11 12 22 32 38 
11 12 22 32 37 
11 12 22 29 38 
11 12 22 29 37 
11 12 20 36 38 
11 12 19 29 35 
11 12 17 37 38 
11 12 17 22 38 
11 12 17 22 37 
11 12 16 19 35 
11 12 15 29 34 
11 12 15 16 34 
11 12 13 37 38 
11 12 13 22 38 
11 12 13 22 37 
9 31 32 37 38 
9 22 31 32 38 
9 22 31 32 37 
9 22 29 31 33 
9 17 31 37 38 
9 17 22 31 38 
9 17 22 31 37 
9 16 31 32 38 
9 16 31 32 37 
9 16 22 31 32 
9 16 17 31 38 
9 16 17 31 37 
9 16 17 22 31 
9 11 22 29 31 
9 10 32 37 38 
9 10 22 32 38 
9 10 22 32 37 
9 10 22 29 33 
9 10 17 37 38 
9 10 17 22 38 
9 10 17 22 37 
9 10 16 32 38 
9 10 16 32 37 
9 10 16 22 32 
9 10 16 17 38 
9 10 16 17 37 
9 10 16 17 22 
9 10 11 22 29 
8 20 31 36 37 
8 18 31 34 35 
8 18 19 31 34 
8 16 29 31 33 
8 15 18 31 35 
8 15 18 19 31 
8 14 29 31 33 
8 14 16 31 33 
8 14 16 29 31 
8 13 16 29 31 
8 13 14 29 31 
8 12 29 31 33 
8 12 16 31 33 
8 12 16 29 31 
8 12 14 29 31 
8 12 14 16 31 
8 12 13 29 31 
8 12 13 16 31 
8 12 13 14 31 
8 11 16 29 31 
8 11 14 29 31 
8 11 14 16 31 
8 11 12 29 31 
8 11 12 16 31 
8 10 20 36 37 
8 10 18 34 35 
8 10 18 19 34 
8 10 16 29 33 
8 10 15 18 35 
8 10 15 18 19 
8 10 14 29 33 
8 10 14 16 33 
8 10 14 16 29 
8 10 13 16 29 
8 10 13 14 29 
8 10 12 29 33 
8 10 12 16 33 
8 10 12 16 29 
8 10 12 14 29 
8 10 12 14 16 
8 10 12 13 29 
8 10 12 13 16 
8 10 12 13 14 
8 10 11 16 29 
8 10 11 14 29 
8 10 11 14 16 
8 10 11 12 29 
8 10 11 12 16 
8 9 32 37 38 
8 9 31 37 38 
8 9 22 32 38 
8 9 22 32 37 
8 9 22 31 38 
8 9 22 31 37 
8 9 17 37 38 
8 9 17 22 38 
8 9 17 22 37 
8 9 16 32 38 
8 9 16 32 37 
8 9 16 31 38 
8 9 16 31 37 
8 9 16 22 32 
8 9 16 22 31 
8 9 16 17 38 
8 9 16 17 37 
8 9 16 17 22 
8 9 10 37 38 
8 9 10 22 38 
8 9 10 22 37 
8 9 10 16 38 
8 9 10 16 37 
8 9 10 16 22 
3 7 27 28 29 
3 5 28 29 33 
3 5 11 28 29 
2 28 29 38 42 
2 27 29 38 42 
2 4 7 27 30 
2 4 6 27 30 
2 4 6 7 27 
2 3 7 28 29 
2 3 7 27 29 
1 13 14 37 42 
1 13 14 22 42 
1 3 7 28 29 
1 3 7 27 29 
1 3 7 27 28 
1 2 5 7 33 
1 2 5 7 11 
1 2 3 7 29 
1 2 3 7 28 
1 2 3 7 27 
0 13 14 37 42 
0 13 14 22 42 
0 3 7 28 29 
0 3 7 27 29 
0 3 7 27 28 
0 2 5 7 33 
0 2 5 7 11 
0 2 3 7 29 
0 2 3 7 28 
0 2 3 7 27 
